"id","coding_sample"
19,"|ll|||ll| |_ll_|l|⚹_||||X_l||⚹_vvv_| || |_|ll|X_||_v||_|#_lll| |l_|||X_⚹°_||l|_vvvvvv_l | ||_|Y_Y||_| ||ll||_l|l_|||_|||||_| |¥_|| ||"
20,"|Y_|ll|||ll| |_lll| |l_||X_|||||_ll_| |¥_l|l_|ll|X_Y||_|_vvvvvv_|l|⚹_||_|#_| ||ll||_||l|_|| ||_X_|||_|||X_|||vv_l||⚹_||l|_⚹°"
21,"||l|_|ll|X_||X_|l|⚹_|_| |¥_vvv_l||⚹_l | ||_| ||ll||_|||_l|l_lll| |l_Xl_||l|_||||X_|| ||_X_|#_|||vv_|||||_| ||_| || |_Y||_⚹°"
22,"||||X_⚹°_l||⚹_| ||ll||_|| ||_|||X_|Y_|#_| |¥_v||_Xl_l|l_vvv_| || |_l | ||_|||_||_| ||_Y||_|||vv_vvvvvv_ll_||l|_||l|_|||||"
23,"v||_|ll|||ll| |_|Y_|| ||_| |¥_⚹°_||l|_|l|⚹_l|l_|_l | ||_||_vvvvvv_| || |_|||vv_X_lll| |l_| ||_Y||_|||||_||X_l||⚹_| ||ll||_||l|_|||X"
24,"|||||_Y||_| ||ll||_vvvvvv_|_||X_||||X_|||vv_|||X_| |¥_Xl_X_|#_||_| ||_l|l_v||_|Y_⚹°_|ll|||ll| |_l||⚹_|| ||_l | ||_|ll|X_||l|"
25,"| || |_| |¥_v||_l | ||_|ll|X_|||||_||_⚹°_|l|⚹_vvvvvv_lll| |l_|ll|||ll| |_|_|||vv_||l|_l|l_|#_| ||_|Y_|||X_ll_|| ||_|||_l||⚹_||l|"
26,"|ll|X_l | ||_Y||_|||||_|||vv_| ||ll||_Xl_|ll|||ll| |_|l|⚹_vvvvvv_|#_l||⚹_||l|_| ||_lll| |l_||_l|l_||X_| |¥_||l|_|||_⚹°_ll_||||X_|"
27,"X_||l|_|| ||_| ||_| ||ll||_| |¥_||l|_||_| || |_||X_l|l_Y||_v||_vvvvvv_l | ||_Xl_|||vv_lll| |l_|ll|||ll| |_l||⚹_|||||_ll_|||X_⚹°_|l|⚹"
28,"|||||_| ||ll||_vvvvvv_||||X_| || |_X_|| ||_Y||_|ll|X_|l|⚹_lll| |l_|_⚹°_l|l_|Y_Xl_l||⚹_l | ||_|ll|||ll| |_v||_ll_| ||_|#_|||_vvv"
29,"|||X_|Y_||||X_||l|_v||_| ||_|l|⚹_| ||ll||_vvv_|||vv_| || |_Xl_|ll|X_lll| |l_|ll|||ll| |_|||||_||l|_||X_|||_l|l_| |¥_||_|_Y||_l | ||"
30,"l | ||_|ll|X_l|l_|||||_|||vv_| ||ll||_X_|||X_||X_Xl_||l|_|| ||_vvvvvv_⚹°_v||_| ||_||||X_| |¥_lll| |l_ll_Y||_|_l||⚹_|Y_||"
31,"||||X_|||vv_l||⚹_|||X_| ||_|ll|||ll| |_||l|_|ll|X_| |¥_vvv_||X_lll| |l_| ||ll||_|||||_X_|||_vvvvvv_||l|_v||_Y||_Xl_|Y_|| ||_||_|#"
32,"| ||ll||_Xl_vvvvvv_X_|l|⚹_|ll|X_vvv_||_l||⚹_v||_||X_⚹°_|||||_l | ||_|| ||_ll_|_|Y_lll| |l_|||X_||||X_| |¥_|#_|||vv_l|l"
33,"v||_|||_l|l_|Y_||l|_|_|| ||_|l|⚹_|||vv_|||||_||_Y||_|ll|||ll| |_|||X_lll| |l_X_||X_vvvvvv_||||X_vvv_l||⚹_|#_Xl_||l|_⚹°"
34,"l||⚹_| || |_|||vv_|||X_X_v||_l|l_|| ||_|||_||||X_| |¥_Y||_||l|_||_||X_ll_|Y_|||||_vvvvvv_|l|⚹_| ||ll||_⚹°_||l|_| ||_|ll|X"
35,"|_||_||X_vvvvvv_| |¥_Xl_|#_|ll|X_|||||_| ||ll||_lll| |l_|||_X_ll_| ||_|Y_||l|_l||⚹_l|l_||l|_| || |_v||_|l|⚹_Y||_vvv"
36,"vvv_|||X_|ll|X_|l|⚹_l | ||_||l|_⚹°_||_|||_|#_|| ||_| || |_|||||_| |¥_l|l_||l|_|ll|||ll| |_v||_l||⚹_|_||X_|Y_| ||_|||vv_ll"
37,"v||_vvv_ll_|| ||_| ||ll||_|||X_⚹°_|#_||l|_| ||_vvvvvv_|_|ll|X_||_l | ||_lll| |l_| |¥_l|l_Y||_|l|⚹_| || |_Xl_|Y_||l|_X"
38,"X_|||vv_l||⚹_||X_|| ||_vvv_Xl_|#_v||_||l|_|ll|||ll| |_vvvvvv_|||_||l|_l | ||_|l|⚹_ll_|ll|X_||_| ||ll||_lll| |l_|||X_| |¥_|||||_l|l"
39,"|||_l||⚹_|_l|l_|||||_||||X_|#_|l|⚹_||X_|Y_| ||_ll_⚹°_||l|_||l|_| || |_Y||_|ll|X_l | ||_|ll|||ll| |_lll| |l_X_vvvvvv_Xl_vvv"
40,"|||||_l||⚹_l | ||_v||_||X_Y||_ll_|Y_⚹°_| || |_||l|_vvv_Xl_|#_|ll|||ll| |_|l|⚹_|| ||_||l|_lll| |l_||||X_|||_l|l_X_|||X_|"
41,"|||vv_| ||_| |¥_|#_||_l | ||_|||_|||||_|| ||_|ll|X_Y||_|Y_X_||||X_|l|⚹_| || |_l||⚹_vvv_⚹°_||X_v||_||l|_||l|_|ll|||ll| |_Xl"
42,"|||X_|||vv_|#_|ll|||ll| |_|l|⚹_||l|_| ||ll||_||||X_X_⚹°_||_||l|_|||||_l | ||_vvv_Xl_lll| |l_l|l_l||⚹_| ||_|||_|Y_||X_ll_|ll|X"
43,"|||X_||l|_vvvvvv_|_X_||X_|Y_l||⚹_| || |_||||X_vvv_|ll|X_lll| |l_|#_v||_|||vv_|ll|||ll| |_||_ll_| ||_l | ||_|l|⚹_|||||_|||_Xl"
44,"|ll|||ll| |_|||||_||l|_|||_Xl_||X_Y||_| ||_|ll|X_⚹°_|||vv_X_vvvvvv_l | ||_||||X_v||_| ||ll||_| |¥_|| ||_|_|#_||_vvv_||l|_|Y"
45,"ll_||||X_|||||_vvvvvv_|ll|||ll| |_|_|l|⚹_v||_||l|_|||_Y||_⚹°_X_| ||ll||_||X_|#_||_||l|_l|l_| ||_| |¥_l||⚹_lll| |l_Xl_l | ||"
46,"||X_|||||_vvv_||||X_l | ||_||l|_|l|⚹_v||_|ll|X_Xl_|||vv_l|l_vvvvvv_|||X_lll| |l_||l|_|_ll_| ||_|| ||_|||_|Y_X_⚹°_|ll|||ll| |"
47,"||l|_l | ||_|_|ll|X_lll| |l_v||_Xl_|ll|||ll| |_ll_|l|⚹_vvvvvv_|||X_||X_| |¥_l|l_vvv_| ||ll||_||l|_||_|||_l||⚹_|Y_Y||_|| ||_X"
48,"Y||_| || |_Xl_|||_vvv_||X_| ||ll||_|ll|X_||l|_⚹°_|| ||_||_| |¥_|_X_|||||_|ll|||ll| |_| ||_|||X_||||X_lll| |l_|Y_|#_ll_l | ||"
49,"||l|_vvv_|| ||_|ll|||ll| |_| || |_|||vv_l||⚹_v||_vvvvvv_|||X_||X_|#_|||||_||l|_||||X_||_⚹°_Xl_| ||_lll| |l_|||_l|l_|_X_ll"
50,"|| ||_|||X_||l|_| |¥_|_l||⚹_Xl_| ||_| || |_ll_|ll|X_|||||_|||vv_X_lll| |l_vvvvvv_|||_||l|_|l|⚹_Y||_||||X_l | ||_||_l|l_|#"
51,"|#_| ||_|||X_|ll|||ll| |_Xl_||l|_| || |_v||_X_l | ||_|Y_||l|_l|l_vvvvvv_|| ||_l||⚹_||_|l|⚹_lll| |l_vvv_Y||_|_⚹°_|ll|X_| |¥"
52,"||l|_ll_lll| |l_l | ||_|||X_|Y_|ll|||ll| |_Y||_l|l_l||⚹_|ll|X_|||||_|#_|||_|l|⚹_||X_||||X_|||vv_⚹°_vvv_v||_| |¥_||l|_|_Xl"
53,"ll_l|l_⚹°_| ||ll||_|||X_Y||_|||vv_||X_|ll|||ll| |_|||||_| || |_|l|⚹_||_Xl_|||_||l|_| |¥_v||_lll| |l_||l|_l | ||_|#_||||X_|Y_l||⚹"
54,"|#_||l|_v||_|ll|||ll| |_Xl_Y||_l||⚹_| ||_ll_|l|⚹_l | ||_lll| |l_||l|_||X_|| ||_|_vvvvvv_⚹°_|ll|X_|||_| ||ll||_X_|Y_|||X_vvv"
55,"| ||_|||_|ll|||ll| |_|||X_|l|⚹_Y||_| || |_|#_| ||ll||_||X_||l|_⚹°_| |¥_|_ll_vvv_vvvvvv_X_|||vv_lll| |l_|| ||_l|l_|ll|X_||_Xl"
56,"X_| || |_⚹°_|||_l||⚹_||l|_v||_|||X_ll_||||X_|#_| |¥_||l|_l | ||_|Y_||X_|ll|X_vvv_|||||_|_|||vv_||_|| ||_Y||_|l|⚹"
57,"||l|_|ll|X_ll_l||⚹_vvv_|Y_X_lll| |l_|||||_|ll|||ll| |_|_|||vv_|l|⚹_||||X_Y||_vvvvvv_|#_||l|_l | ||_l|l_⚹°_|||X_|||_||_| |¥"
58,"lll| |l_|#_l | ||_||l|_||X_l||⚹_|| ||_|||X_||l|_|||||_⚹°_v||_|||_||_| || |_|ll|X_Xl_| ||ll||_||||X_|Y_vvvvvv_| ||_|l|⚹_|||vv_ll"
59,"l||⚹_|||_||l|_| ||ll||_| ||_||X_vvvvvv_⚹°_|||X_|ll|X_l|l_Y||_|||||_||_||l|_|||vv_|l|⚹_Xl_| |¥_v||_|Y_|#_l | ||_| || |_|"
60,"||||X_|||_vvvvvv_| |¥_X_|_l|l_|l|⚹_|Y_||l|_ll_| ||ll||_|||vv_Y||_||_| || |_| ||_lll| |l_|||||_||l|_|||X_l | ||_⚹°_Xl_|ll|||ll| |"
61,"ll_Y||_||||X_||l|_|ll|X_|l|⚹_|Y_⚹°_|ll|||ll| |_vvv_|||vv_|||X_l||⚹_Xl_||_vvvvvv_X_||X_| ||_l|l_lll| |l_| ||ll||_v||_|_|||||"
62,"|Y_| || |_ll_|| ||_l | ||_|#_|||X_vvvvvv_l||⚹_||X_||||X_Xl_| |¥_|||vv_| ||_||_Y||_v||_|_||l|_l|l_X_|l|⚹_|ll|X_|||"
63,"lll| |l_|#_l||⚹_Y||_| ||_|l|⚹_X_|||_|||||_||||X_ll_|||X_||_l|l_|Y_v||_| || |_⚹°_vvvvvv_||X_| ||ll||_l | ||_|_|ll|||ll| |_Xl"
64,"| ||_||l|_ll_|||X_lll| |l_| |¥_Y||_vvv_|ll|X_X_||X_||_||||X_Xl_l|l_|ll|||ll| |_| ||ll||_|Y_|#_| || |_|||vv_⚹°_l||⚹_|_|| ||"
65,"||||X_||l|_⚹°_||l|_l | ||_| ||ll||_|ll|X_||X_Y||_v||_|#_|_||_| || |_|l|⚹_X_ll_|| ||_| ||_lll| |l_|ll|||ll| |_|||||_|Y_Xl_l||⚹"
66,"vvv_| ||ll||_|Y_|l|⚹_| ||_||l|_|ll|X_l|l_||_⚹°_|ll|||ll| |_Xl_ll_|| ||_|||||_| |¥_Y||_||||X_l | ||_|#_||l|_|||vv_lll| |l_||X_l||⚹"
67,"vvvvvv_l|l_| || |_Xl_|| ||_|_Y||_|Y_|||||_||l|_| |¥_|ll|||ll| |_||X_ll_l | ||_lll| |l_||l|_v||_| ||_|||_|#_| ||ll||_||||X_⚹°_|l|⚹"
68,"lll| |l_||X_|||X_| |¥_|#_||l|_|| ||_|l|⚹_||_⚹°_l||⚹_|||vv_X_v||_|||_|Y_Y||_||l|_| ||ll||_l|l_|||||_| || |_Xl_|ll|X_l | ||"
69,"|||X_|_| ||_||||X_| ||ll||_||l|_vvv_|||||_||l|_|||vv_l|l_l | ||_| || |_|| ||_|ll|X_|l|⚹_lll| |l_|Y_| |¥_ll_vvvvvv_||_Xl_⚹°_Y||"
70,"|ll|X_X_| |¥_||||X_lll| |l_|||_| || |_Y||_|l|⚹_||_Xl_ll_|||X_| ||_|ll|||ll| |_|_||l|_vvv_||l|_|||||_| ||ll||_|| ||_l|l_⚹°_|||vv"
71,"l||⚹_|||vv_| || |_|_l | ||_|||||_lll| |l_|||_v||_|Y_||||X_|ll|X_Y||_vvv_|#_|| ||_||l|_|ll|||ll| |_vvvvvv_| ||ll||_||l|_|l|⚹_| ||_Xl_| |¥"
72,"|ll|||ll| |_||l|_||X_lll| |l_|||X_vvv_⚹°_||l|_Y||_Xl_| || |_|Y_|_vvvvvv_| ||ll||_| |¥_l | ||_| ||_l||⚹_|||||_|ll|X_||||X_||_v||_|||"
73,"|||||_l | ||_ll_lll| |l_|||_X_||||X_Xl_||X_|ll|||ll| |_vvv_|Y_⚹°_|| ||_l||⚹_|#_|_|ll|X_vvvvvv_v||_| ||_|l|⚹_| |¥_l|l_|||X"
74,"l | ||_l||⚹_||||X_⚹°_Xl_|||vv_vvvvvv_| ||_|||||_Y||_| |¥_ll_||X_||_lll| |l_X_v||_|ll|X_|||_|l|⚹_vvv_| ||ll||_|| ||_|Y_|||X"
75,"ll_|_|l|⚹_||l|_||l|_| ||ll||_Y||_vvv_vvvvvv_⚹°_| ||_X_|||X_| |¥_l|l_|||||_v||_lll| |l_|||vv_||_||X_|#_Xl_||||X_| || |"
76,"|||||_l|l_|||X_||l|_|_| ||ll||_|ll|||ll| |_| || |_ll_|||vv_|ll|X_X_|l|⚹_||X_| |¥_l||⚹_|#_|Y_Y||_| ||_Xl_|| ||_vvvvvv_lll| |l_|||"
77,"| ||ll||_vvv_|ll|||ll| |_lll| |l_|| ||_|#_⚹°_Xl_| || |_|l|⚹_|||vv_ll_|ll|X_||l|_||_| |¥_|Y_|||_X_l|l_v||_l||⚹_||||X_vvvvvv_l | ||"
78,"Xl_||_l | ||_l||⚹_|||||_|#_| ||_||l|_|Y_Y||_||l|_||||X_l|l_vvvvvv_v||_|ll|X_|ll|||ll| |_| |¥_|l|⚹_|||_ll_||X_vvv_X_⚹°"
79,"| || |_l||⚹_vvvvvv_|||_|_||X_|ll|X_lll| |l_||l|_| ||ll||_|ll|||ll| |_||l|_Y||_|||vv_v||_|l|⚹_| |¥_ll_| ||_|Y_Xl_|||X_⚹°_||||X_vvv"
80,"|||_l|l_| ||_|ll|||ll| |_X_vvvvvv_|ll|X_| ||ll||_Xl_⚹°_||X_|l|⚹_|Y_| |¥_||_|_|||vv_|#_Y||_|| ||_||l|_|||||_|||X_| || |_||||X"
81,"||||X_X_|||||_|||X_l|l_|_|l|⚹_ll_| |¥_|Y_||l|_| || |_| ||_vvvvvv_||_Xl_|||vv_⚹°_| ||ll||_v||_|||_l | ||_Y||_|#_vvv"
82,"||l|_v||_| |¥_|_Y||_⚹°_lll| |l_| ||_||X_l | ||_Xl_|l|⚹_|||X_|ll|||ll| |_||||X_l|l_|ll|X_|Y_l||⚹_|||vv_vvv_| || |_|| ||_| ||ll||_||l|"
83,"| |¥_| || |_|||||_l||⚹_| ||ll||_X_ll_|| ||_|_⚹°_|||X_|Y_vvvvvv_|#_||l|_Xl_|||_||_| ||_l|l_v||_||X_lll| |l_|l|⚹_Y||"
84,"|_|||||_vvvvvv_||||X_||X_||l|_|ll|X_|||_|l|⚹_⚹°_||l|_X_ll_Y||_lll| |l_|||X_| |¥_l|l_vvv_||_l | ||_| || |_Xl_l||⚹_| ||"
85,"|ll|X_|#_vvvvvv_ll_|ll|||ll| |_Xl_||||X_|||X_l | ||_| ||_|||_| ||ll||_|Y_v||_X_|||vv_||l|_|_l||⚹_l|l_⚹°_||_|| ||_| |¥_||X"
86,"ll_X_|ll|X_|||_|#_v||_l|l_||||X_||l|_|||vv_| ||_|||X_l | ||_⚹°_||_||l|_||X_l||⚹_|ll|||ll| |_Xl_|_|l|⚹_|||||_Y||_| ||ll||"
87,"|l|⚹_|||vv_|||_||l|_X_|||||_vvvvvv_l|l_ll_| ||ll||_|#_||X_||_⚹°_||l|_Xl_|Y_| ||_lll| |l_|_||||X_v||_|||X_vvv_|ll|||ll| |"
88,"| ||ll||_||||X_lll| |l_|ll|X_Y||_||X_v||_|| ||_|||X_|||_||_vvvvvv_|Y_|l|⚹_|_ll_|ll|||ll| |_|#_|||||_||l|_| || |_l|l_||l|_| ||_X"
89,"X_|_| || |_| ||_Y||_|l|⚹_|ll|X_|ll|||ll| |_||l|_||_ll_|||||_lll| |l_|||_Xl_|#_||X_vvv_v||_||||X_|| ||_vvvvvv_|Y_|||X_| |¥"
90,"|Y_|||_|||X_Y||_ll_vvvvvv_|#_X_|_||||X_| ||ll||_Xl_| ||_l||⚹_||_|ll|||ll| |_⚹°_|||vv_lll| |l_||l|_| |¥_v||_|ll|X_l|l_||l|"
91,"|||||_|_l||⚹_|ll|||ll| |_ll_|||vv_⚹°_Y||_X_| || |_|l|⚹_||l|_|ll|X_||l|_||_||||X_v||_| ||ll||_| |¥_vvv_|Y_||X_vvvvvv_|#_l | ||"
92,"| |¥_|||_l|l_| ||ll||_|#_l||⚹_||l|_||X_| ||_|l|⚹_|||vv_|ll|||ll| |_|||||_|| ||_X_v||_|_| || |_⚹°_l | ||_|||X_|ll|X_|Y_vvv_||"
93,"|||X_|| ||_|||vv_v||_l | ||_l||⚹_vvvvvv_ll_| || |_|ll|X_X_l|l_|l|⚹_Y||_|Y_Xl_|||||_lll| |l_vvv_|ll|||ll| |_|||_||l|_||_||||X_|#"
94,"||l|_X_|#_||_|ll|||ll| |_|_|ll|X_vvvvvv_|| ||_|||X_l | ||_||l|_l|l_l||⚹_|||_| ||_vvv_| || |_|||||_Y||_|||vv_⚹°_ll_|l|⚹_||X"
95,"l | ||_|||vv_||||X_l||⚹_|ll|||ll| |_X_v||_|||X_|| ||_vvvvvv_| ||_|#_lll| |l_| ||ll||_||l|_l|l_|||_|l|⚹_||X_|||||_||_Xl_vvv_|ll|X_ll"
96,"|#_v||_|||||_Y||_| ||ll||_|_Xl_||l|_|||_|| ||_| ||_|ll|||ll| |_|ll|X_l|l_| || |_||X_⚹°_l||⚹_||||X_vvvvvv_|||vv_||_||l|_| |¥_vvv"
97,"||l|_ll_| || |_||_| ||ll||_l|l_|||_|||X_|#_Y||_l | ||_||||X_|ll|X_l||⚹_| |¥_||X_⚹°_lll| |l_X_|||vv_| ||_|ll|||ll| |_vvvvvv_||l|_Xl"
98,"Xl_|||vv_l | ||_| ||ll||_||l|_||X_|l|⚹_|||||_||_| ||_l|l_ll_|| ||_⚹°_vvvvvv_| |¥_X_|||X_||||X_v||_|||_lll| |l_l||⚹_|Y_|ll|X"
99,"|||X_|||||_l | ||_l|l_|||_||_|Y_|ll|||ll| |_| |¥_|#_| ||_vvvvvv_||l|_| || |_⚹°_vvv_| ||ll||_lll| |l_||X_ll_Y||_||||X_|_|||vv_l||⚹"
100,"|l|⚹_||X_l|l_|| ||_| ||ll||_||_|_⚹°_X_| |¥_|||||_|ll|||ll| |_|#_l | ||_| ||_v||_vvv_|ll|X_ll_l||⚹_|||X_lll| |l_|||_vvvvvv_Xl"
