"id","coding_sample"
11,"vv _ X _ XXXXX _ ¥ _ ||||| _ ||||||| _ ¥ _ vvv _ v _ vvv _ vv _ vv _ vvv _ vvvv vvv vv _ vvv v vvvv _ vvv _ v vv v v v v v _ v v v v v _ vvvv _ >>>>>>> _ XXXXXXXX _ | _ v v vv v _ |||| || || | _ |||||| | | | _ |||||||| _ v v vvv vv _ °°°° °°° _ °°°°°°°° _ v°°°°°°°°° _ Vv _ ^^^^^^ | _ vvvvvvvv _ Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ ¥ ¥ ¥ _ vvvvv"
12,"X _ OOOOO _ ||| _ v vvv v v _ vvv v _ ||||| _ | _ || _ XX _ XXXXX _ XXXX _ vvvvvv _ ¥ _ ¥ _ vvvvvv _ || || _ XXX _ vvvv _ $ _ vvvvvvvv _ //// _ | |||| _ | _ vv v _ ||||_ | ||"
13,"vvvvvv _ ||||||| _ ¥ _ vvv _ v _ ¥ _ vvvvv _ ¥ ¥ ¥ _ ⊞ _ | | |||| ||| _ vv _ // _vvvv _ | | | _ vvvvvvvv _ | |||| _ | _ vv v _ ||||_ | || _ vvvvvv _ v V>>>vv _ vvvvvv _ ¥ _ vvvvv _ OO"
14,"vvvv _ vvvv _ vvv _ X/XXX/ _ vvvvv _ ¥ _ & _ X _ vvv _ vv _ vv _ vvv _ YYY _ vv _ X _ XXX _ vvvvv _ vv _ | |||| | | |||| _ v vvv _ vv _ |||| _ XX"
15,"⊞ _ vvvvvv _ vvv _ ||| |||| _ vvvv _ ||||| _ vvvvv _ vv _ vv _ / / / / // _ |||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ //////////// _ v v vv v _ ||| _ |||||||||||| _ ||||| _ ||||||| _ ¥ _ ¥ _ vvvvv _ |XX |X X _ v _ ¥"
16,"vvvv vvvv _ | | |||| ||| _ vv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ ¥ _ ¥ _ vvvv _ vvv  _ vvv _ ||||||||||| _ v _ >>>> _ >>>> _ |XX |X X _ || _ // _ vv _ | || | _ |||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ //////////// _ vvvvv _ & _ X"
17,"vv _ ⊞ _  _V V _ V _ vv _ | |||| _ | _ vv v _ ||||_ | || _ v v vv v v _ vvvv v _ v vvv v v _ vvv v _ || _ |||| _ ||||| _ |||||||| _ vvvv vvv vv _ vvv v vvvv _ vvv _ v vv v v v v v _ v v v v v _ vvvv _ >>>>>>> _ vvv _ vv _ vv _ vvv _ |XX |X X _ v vv vv _ W W _ ||||||||||| _ ¥ _ $"
18,">>>> _ >> _ |||||| _ vvvv vvv _ |||| _ vvvv vv _ // _vvvv _ //////////// _ /// _ ///// _ // //// _ ¥ _ /////////// _ vvvvvvvvvvvvvv _ /// _ vvvv vvv vv _ vvv v vvvv _ vvv _ v vv v v v v v _ v v v v v _ vvvv _ >>>>>>> _ YYY _ X || _ | _ | || | _ ||l _ vvvvvvvvvv _ XXXXX _ ////////// _ l|ll _ vv _ vv _ vv v _v"
19,"//////////// _ /// _ ///// _ // //// _ ¥ _ /////////// _ XXXXX _ | |||| _ | _ vv v _ ||||_ | || _ v v vv v v _ XXX _ vvvv _ vvvv _ vvvv _ vvvvvv _ XX _ vvvvvvv _ v v vvv vv _ XXX _ vvvv _ ||||| ||| _ || _ |||| _ ||||| _ |||||||| _ XXX _ XXXXX _ XXXX _ / / / / //"
20,"||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X _ v vv v _ X _ vvvvvvvv _ ¥ _ v vv vv _ vvvvvvvvvvvvvvvvvvv _ W _ v _ vvvvvvv _ / \ _ ||| _ || _ XX _ vvv _ l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _  ll ll ll ll _ vvvv vvvv _ vvvvvv"
21,"vvvvvv _ v _ v _ ¥ _ |||||| _ vvvv vvv _ |||| _ vvvv vv _ /XX _ vvvvvvvvvvvvvvvvvv _ v _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>> _ O _ vvvv vvv vv _ vvv v vvvv _ vvv _ v vv v v v v v _ v v v v v _ vvvv _ >>>>>>> _ ⊞ _ vvvvvv _ vvv _ vvvvvvvv _ ||| _ ¥ _ | _ \\\\ \\\\\ _ \ \\\ / _ vvvv vvvv _ vvvvvvv _ v _ | | |||| ||| _ vv"
22,"⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞ _ vvvvvvvvvvv _ vvvv _ XXX _ || _ v _ v _ |XX |X X _ vv _ |||||X _ |||| _ ||||| _ vvvvv _ vvvvvvvvv _ vvv _ / / / / // _ vv v _v _ ¥ _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ ||| _ vvvvvv _ v v vv v v v"
23,"vvv vvv _ || | _ vvvvvvvvvvv _ XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv _ $ _ v v vv v _ //// _ v _ Vvvv _ |||| _ vvvvvvv _ vv _ X| _ |||||||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ Y/\\\\VV\\ _ vvvvvvvv _ C _ |||| _ /// _ ||| _ ||| _ v _ v v v vv _ v v v _ v v vv vv vv vv _ ¥ _ vvv _ vvvvvvv _ ||||| _ ///////////////// _ /////////////// _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ |||"
24,"v vvv v v _ vvv v _ vv _ vv _ ||||||||||||||||||| _ vvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvv _ \\\\ \\\\\ _ \ \\\ / _ ||| _ vvvvvvvvvv _ vv _ vvvvv _ vvvvvvvvvvvv _ vvvvv _ |||||| _ vvvv vvv _ |||| _ vvvv vv _ ||||||| _ ¤¤¤¤¤¤¤¤¤ _ // _ ¤¤¤¤¤¤¤¤¤ _ ||| _ V _ ||| _ v _ v _ v _ v _ v _ vvvv vvvvvv >>>> _ |||||| _ v"
25,"v v v vv vv _ v v vv _ |||| _ ||||| _ |||||||| _ vvvv _ vvvv _ | ||||| | _ | | | || || | | | | | _ ¥ _ XXX _ / / // _ >> _ ⊞ _ | | | _ ⊞ _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ ||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤ _ |||||||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤ _ Y/\\\\VV\\ _ vvvvvvvv _ C _ |||| _ /// _ ||| _ ||| _ v _ |||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ //////////// _ v"
26,"vv _ ⊞ _ vvvvvv _ vvv _ ¥ _ ||||| _ vvv vvv _ vvvv*vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvv _ vvvv vvvvvv >>>> _ XXXXX _ Vvvv _ |||| _ ||||| _ ///////////////// _ /////////////// _ v v vv v v _ XXXXXXXX/ _ XXXX _ ¥ _ ||||| ||| _ || _ XXXXX _ XXXX"
27,"W W _ ¥ _ >>>>>>  >>>>> _ ⊞ _  _V V _ V _ vv _ vvvvv _ vvvvvv _ & _ $ _ |||| _ vvvv v _ vvv _ // _vvvv _ >>>> _ >>>> _ X || _ | _ | || | _ v _ || _ vvvvv _ vv _ v"
28,"¥ _ l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _  ll ll ll ll _ || _ ||||||| _ ¥ _ vvv _ v _ v vvv _ | |||| | | |||| _ v vvv _ vvvvv _ XXXXXXXX/ _ XXXX _ ¥ _ |||| _ ¥ _ ////////// _ l|ll _ | ||||| | _ | | | || || | | | | | _ XX _ vvvvvvv _ v _ ||||||||||"
29,"| | | _ | ||||| | _ | | | || || | | | | | _ v _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>> _ YYY _ | | || | > _ vvvvv _ | _ Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ ⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞ _ vvvv _ // _vvvv _ vvvvvvvvvvv _ vvvvv _ vvvvvvvvvvvv _ ||||"
30,"l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _  ll ll ll ll _ ⊞ _ //////////// _ /// _ ///// _ // //// _ ¥ _ /////////// _ XXXX _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvv _ vv _ vvv _ vvvvv _ ||| _ ¥ _ vv _ ||l _ ¥ _ ||||| _ /XX _ | | || | > _ ¥ ¥ ¥"
31,"vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv _ vvv _ || _ YYY _ vvvvvv _ vvvv vvvvvv >>>> _ X/XXX/ _ vvvv vvvv _ vv v _v _ ¥ ¥ ¥ _ | |||| | | |||| _ v vvv _ || ||| _ Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv vvv _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ ||| _ |"
32,"vvvvvvvv _ Vvvv _ |||| _ $ _ ||| ///// _ V _ vvvvv _ >> _ $ _ v _ vvvv vvvv _ vv _ >>>>>>  >>>>> _ l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _  ll ll ll ll _ ¥ _ v v v vv vv _ v v vv _ X/XXX/ _ |"
33,"vv _ ¥ _ >>>> _ >>>> _ // _vvvv _ vvvvvvvv _ l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _  ll ll ll ll _ OO _ OO _ vvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤ _ vv _ ¥ _ vvv _ vvv _ vv _ || _ vvvvvv _ v V>>>vv"
34,"vvvv _ vvvv _ vvvvvv _ vvvvvvvvvvvv _ v _ || _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ |||| _ ||||||||||||||||||| _ vvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvv _ XXX _ || _ v _ v _ vvvvv _ >> _ ||||CC _ ¤¤¤¤¤¤¤¤¤¤¤¤ _ ||||  _ vvvvv _ X || _ | _ | || | _ ¥ _ OO _ ^^^^^^ | _ vv"
35,"$ _ V _ v _ ⊞ _ vvvvvv _ ¥ _ °°°°° _ vvvvvvv _ v vvv _ v v vvv vv _ vvv _ v vvv v v _ vvv v _ ||||||||||| _ vv v _v _ |||||| _ || || _ vvv _ vvv vvv"
36,"vvvvvvvv _ vvvvvvvvv _ ¥ _ ⊞ _ ||||||| _ ¥ _ vvv _ v _ XX _ vvvvvvv _ |||| _ ||||| _ |||||||| _ | | |||| ||| _ vv _ X _ OO _ ^^^^^^ | _ vvvvvvv _ v _ | ||||| | _ | | | || || | | | | | _ ¥ _ ¥ _ ⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞ _ ¥ _ ||||| _ vvvvvv _ v V>>>vv"
37,"| | || | > _ || ||| _ | _ || _ ¥ _ OO _ ||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvv _ vvv _ ¥ v _ vvvvV _ >>  _ vvv _ vv _ vv _ vvv _ vvvvvvvvvvv _ ¥ _ vvv _ Vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°  _ OO _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤"
38,"/// _ ||||||| _ vvvvv _ vvv _ |||||||||| _ vvv _ |||| _ OOOOO _ || _ | || | _ XXXXXXXX _ | _ / \ _ ||| _ || _ vvv _ vvvvv _ vvvvvvvvvvvvvv _ vvvvv _ vvvvvv _ & _ vvvvv"
39,"⊞ _ >> _ vvvvvvvvvvvvvvvvvv _ v _ X/X|| _ |||| _ ////////// _ l|ll _ ¥ _ vv _ YYY _ |||| _ ||||| _ |||||||| _ vvvvvvvv _ vv _ XXXXX _ //// _ ¥ _ vvv _ vvvv _ vv _ vvvv _ XXXX"
40,"vvvvvv _ ¥ _ ¥ _ Vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°  _ & _ X _ vvvv _ vvvvv _ vvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ || _ vv _ ||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤ _ \\\\ \\\\\ _ \ \\\ / _ vvvvvv _ ¥ _ ¥ _ ||| _ v _ v _ v _ v _ v _ vv _ v _ YYY"
41,"vvvvvv _ v _ vvvvvvvv _ vvvvvvvvv _ v v vvv vv _ vvvv vvv vv _ vvv v vvvv _ vvv _ v vv v v v v v _ v v v v v _ vvvv _ >>>>>>> _ vvvvvvvvvv _ OOOOO _ vv _ vv _ ||||||| _ ¤¤¤¤¤¤¤¤¤ _ // _ ¤¤¤¤¤¤¤¤¤ _ ||| _ V _ | | |||| ||| _ vv _ ¥ _ XXXXXYYY _ X _ XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX _ X _ vvvvvvvv _ vvvv _ vvv  _ vvv _ vv _ v"
42,"vvvvvv _ ¥ _ ¥ _ v _ V _ v _ //// _ || || _ vvvvv _ Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvv _ >> _ ||||CC _ ¤¤¤¤¤¤¤¤¤¤¤¤ _ ||||  _ ||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X _ vv _ v _ ¥ _ | |||| | | |||| _ v vvv _ ||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvv _ /// _ OO _ XX"
43,"vv _ vvvvvvv _ vvvvv _ v _ v _ vvvvv _ vvvvv _ °°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ ° _ vv _ vvv _ v v vv v _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ \\\\ \\\\\ _ \ \\\ / _ vvvvvvvvvvvv _ v vv vv _ vvv _ XXX _ vvvvvvvvvvvvvv"
44,"OO _ vvvvvvvvvvv _ |||| _ XX _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ ||| _ vvvvvvvv _ | | |||| ||| _ vv _ ¥ _ v _ // _vvvv _ v v vv v v v _ || | _ OO _ vvvvvvvv _ |||| _ X|"
45,"vvvv*vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvv _ v _ |||||| _ // _vvvv _ vvvvvvvvvv _ vvvvvvv _ // /// // _ ||l _ ||| X V\\ / \\/ \\ ¥ _ °°°°°°° _ vvvv _ vv v _v _ vvv _ °°°°° _ vvvvvvv _ ¥ _ vvvvv _ vvvvvv _ XX"
46,"|| _ vvvvv _ ¥ _ ||||| _ & _ X _ Vvvv _ |||| _ XX _ //// _ ||| _ X X _ ||| _ //// _ ||||| _ vvv _ vv _ || _ ||||| _ || _ vvv|||| _ ^^^^ _ X _ ||l _ ||||||| _ ¤¤¤¤¤¤¤¤¤ _ // _ ¤¤¤¤¤¤¤¤¤ _ ||| _ V _ XX _ vvv _ vvvvv _ || || _ X X X X X X X _ vvvvvvvvvvvvvvvvvvvvvvvvvv _ vvv vvv vv vvv vvv _ || ||| _ |||| _ ||||| _ ||||||||"
47,"vvvv _ vvvvvv _ ¥ _ |||||| _ || _ ||||||| _ |||||| _ |||||||||| _ vv _ /// _ vvvvv _ vvvv _ vvvvv _ //// _ v _ ||| X V\\ / \\/ \\ ¥ _ °°°°°°° _ ¥ _ vvvvvvvv _ Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvv _ vvvv vvvvvv >>>>"
48,"|||| _ vvvvv _ >> _ ⊞ _  _V V _ V _ vv _ vvvv/Xv _ XXXXXXvvv _ _ || _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ vvvvvvvvv _ vvvvv _ vvvvvv _ vvvv _ vvvvv _ vvvv _ vvvv _ v _ ¥ _ /// _ X/XXX/"
49,"||||||| _ |||||| _ |||||||||| _ vv _ /// _ / / / / // _ v _ //// _ Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ || ||| _ || || _ ¥ _ ||||| _ ||||||| _ ¥ _ vvv _ v _ ||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvv _ vvvv vvvvvv >>>> _ / \ _ ||| _ || _ ||||| _ ///////////////// _ /////////////// _ W _ vvvvvvvvvv _ vv _ vvv"
50," _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>> _ ||l _ X _ XX _ vv _ || _ ¥ _ v vv v _ vvvvv _ vvvv v _ ¥ _ ||| _ vv _ vvv _ vvvvvvvv _ vvvvvvvvvvv _ vvvvvvvv _ ||"
51," _ v _ /XX _ vvvvvvvv _ XXXXXYYY _ X _ XXXX _ XVXXY _ °°° _ °°°°°°° _ XXXX _ >>>XXX _ ⊞ _ XXXXX _ | | |||| ||| _ vv _ vvvvvvvvvv _ XX _ ¥ _ vvvvvvvvv _ X _ >>>>>>  >>>>> _ vv _ v _ XX _ ||| X V\\ / \\/ \\ ¥ _ °°°°°°° _ ¥ _ |||||"
52,"vvvvvvv _ ||||||| _ |||||| _ |||||||||| _ vv _ /// _ X _ XXX _ vvv _ vvvv _ vv _ vvvv _ ¥ _ ¥ _ vvvv vvvvvv >>>> _ ¥ v _ vvvvV _ >>  _ v _ vvvvvvv _ ||| ///// _ V _ ⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞ _ v v vv v _ °°°°° _ vvvvvvv _ ||||| ||| _ ||"
53,"| ||||| | _ | | | || || | | | | | _ |||| || || | _ |||||| | | | _ |||||||| _ >>>> _ >> _ vvvvvvvvvvvv _ OO _ vvvv vvv vv _ vvv v vvvv _ vvv _ v vv v v v v v _ v v v v v _ vvvv _ >>>>>>> _ ||| _ ¥ _ vvvvv _ v v v vv _ v v v _ v v vv vv vv vv _ ¥ _ vvv _ vvvvvvv _ v _ ^^^^^^ | _ ⊞ _ vv _ v _ vvvvvvv _ XX"
54,"vvvv _ vvvv _ OO _ vvv _ ¥ _ ¥ _ v v vv v _ vvvvvvvv _ ¥ _ vvvvvvvv _ vvvvv _ ⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞ _ °°°° °°° _ °°°°°°°° _ v°°°°°°°°° _ Vv _ || _ v _ v _ XX _ ¥"
55,"¥ _ Vvvv _ |||| _ vvv _ vvvv _ vv _ vvvv _ vvv _ |||||| _ vvvv vvv _ |||| _ vvvv vv _ // _vvvv _ °°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ ° _ ||||||| _ |||||| _ |||||||||| _ vv _ /// _ |||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ //////////// _ v v vv v _ ||| _ vv _ vvv _ vvv _ vvvvvvvvvvvvvvvvvvv _ XXX _ || _ v _ v _ v _ vvv _ vvvvv"
56,"$ _ V _ v _ X || _ | _ | || | _ v vv vv _ vv _ vvvvvvvvvvvvvvvvvvv _ // _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>> _ / / // _ vvvvvv _ ||| _ ¥ _ | _ |||||| _ // _vvvv _ v _ vvvvvvvvvvv _ X|"
57,"vvvvv _ vvvvvvvvvv _ ¥ _ v vvv _ vvvvvvvv _ W _ OO _ ||||||| _ |||||| _ |||||||||| _ vv _ /// _ |||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ |||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ //////////// _ W W _ XX _ vvvvvvv _ vvv _ ||| _ vvvvv"
